,User,Date,Tweet Text,Tweets Ago,Positive,Negative,Neutral,Compound
44,BBC,Sun Dec 24 18:57:04 +0000 2017,RT @BBCiPlayer: ?  Cuteness alert! @SukiandtheCity is loving #indianajones this Christmas Eve ? https://t.co/4njqy0GmB7 https://t.co/4neEWm…,45,0.492,0.508,0.0,0.8655
45,BBC,Sun Dec 24 18:33:04 +0000 2017,"'People love seeing the dogs - especially with towels on their heads.'

? This dog nativity photograph has gone vir… https://t.co/2ziF5VzkGo",46,0.189,0.811,0.0,0.6369
46,BBC,Sun Dec 24 18:21:06 +0000 2017,RT @BBC6Music: Some amazing suggestions of gigs that you would time travel to. Wonder which gig @maryannehobbs would hop in the Tardis to s…,47,0.142,0.858,0.0,0.5859
47,BBC,Sun Dec 24 18:18:37 +0000 2017,"RT @BBCOne: Amsterdam, 1686. Nella Oortman enters a world of tensions, secrets and mystery which soon threatens her future.

? #TheMiniatur…",48,0.0,0.762,0.238,-0.6486
48,BBC,Sun Dec 24 17:32:03 +0000 2017,"Tonight, there's a huge surprise in store for a Welsh community centre. Mary, Mel and Sue's Big Christmas Thank You… https://t.co/DYo5HnRgsk",49,0.301,0.699,0.0,0.7096
49,BBC,Sun Dec 24 16:48:03 +0000 2017,Not eating meat doesn't mean you have to miss out. These festive recipes will help you have a very merry vegmas. ??… https://t.co/yilTnDYG4n,50,0.326,0.619,0.055,0.8357
50,BBC,Sun Dec 24 16:29:50 +0000 2017,RT @bbcthree: Is social media ruining your relationship? https://t.co/0PJZiC8s5g,51,0.0,0.8,0.2,-0.25
51,BBC,Sun Dec 24 16:26:49 +0000 2017,"RT @BBCOne: Lights, camera, action! Films for the family this Christmas on @BBCOne. ? https://t.co/ldUi0Bnhn7",52,0.0,1.0,0.0,0.0
52,BBC,Sun Dec 24 16:00:01 +0000 2017,"The struggle is real. ??

Via @BBCTheSocial https://t.co/YrfHSW7Bwu",53,0.0,0.753,0.247,-0.3182
53,BBC,Sun Dec 24 15:00:08 +0000 2017,? Are real or fake Christmas trees better for the environment? ??https://t.co/8JZoL7ZzDa https://t.co/dEoYVZp4j9,54,0.181,0.625,0.194,-0.0516
